45  -11.00  -10.50  -10.00  -9.50 -9.00 -8.50 -8.00 -7.50 -7.00 -6.50 -6.00 -5.50 -5.00 -4.50 -4.00 -3.50 -3.00 -2.50 -2.00 -1.50 -1.00 -0.50 -0.00 0.50  1.00  1.50  2.00  2.50  3.00  3.50  4.00  4.50  5.00  5.50  6.00  6.50  7.00  7.50  8.00  8.50  9.00  9.50  10.00 10.50 11.00
-78.0 0.0 55.2  56.8  58.4  60.0  61.4  62.8  64.2  65.4  66.6  67.8  69.0  69.8  70.8  71.6  72.2  73.0  73.4  74.0  74.4  74.6  74.8  75.0  75.0  75.0  74.8  74.6  74.4  74.0  73.4  73.0  72.2  71.6  70.8  69.8  69.0  67.8  66.8  65.6  64.4  63.0  61.8  60.4  58.8  57.4
-77.5 58.4  60.2  62.2  64.0  65.6  67.2  68.8  70.4  71.8  73.0  74.4  75.4  76.6  77.6  78.4  79.2  80.0  80.6  81.2  81.4  81.8  82.0  82.2  82.2  82.2  82.0  81.6  81.4  81.0  80.4  79.8  79.2  78.4  77.4  76.4  75.4  74.2  73.0  71.6  70.2  68.8  67.2  65.6  64.0  62.4
-77.0 63.8  66.0  68.0  70.0  71.8  73.8  75.4  77.2  78.8  80.2  81.6  83.0  84.2  85.2  86.2  87.0  87.8  88.4  89.0  89.4  89.8  90.0  90.2  90.4  90.2  90.0  89.8  89.4  88.8  88.2  87.6  86.8  85.8  85.0  83.8  82.6  81.4  80.0  78.4  76.8  75.2  73.4  71.8  69.8  68.0
-76.5 70.0  72.4  74.6  76.8  79.0  81.0  83.0  84.8  86.6  88.2  89.8  91.2  92.6  93.8  94.8  95.6  96.6  97.4  98.0  98.6  98.8  99.2  99.2  99.2  99.2  99.0  98.6  98.2  97.8  97.0  96.2  95.4  94.4  93.2  92.0  90.6  89.2  87.6  86.0  84.2  82.4  80.4  78.4  76.4  74.2
-76.0 76.8  79.4  82.0  84.4  86.8  89.2  91.4  93.4  95.4  97.2  99.0  100.6 102.0 103.2 104.4 105.4 106.6 107.2 107.8 108.4 109.0 109.2 109.2 109.2 109.2 109.0 108.8 108.2 107.4 106.8 106.0 105.0 103.8 102.6 101.2 99.6  98.0  96.2  94.4  92.4  90.2  88.2  86.0  83.6  81.2
-75.5 84.2  87.2  90.2  93.0  95.6  98.2  100.6 103.0 105.0 107.2 109.2 110.8 112.4 113.8 115.2 116.4 117.4 118.2 119.0 119.6 120.0 120.4 120.4 120.6 120.4 120.0 119.8 119.2 118.4 117.6 116.6 115.6 114.2 113.0 111.2 109.6 107.8 105.8 103.8 101.4 99.2  96.6  94.2  91.6  88.8
-75.0 92.6  96.0  99.4  102.4 105.6 108.4 111.0 113.6 116.0 118.4 120.4 122.4 124.2 125.8 127.2 128.4 129.6 130.6 131.4 132.0 132.4 132.8 133.0 133.0 133.0 132.6 132.2 131.6 130.8 129.8 128.6 127.4 126.0 124.6 122.8 120.8 118.8 116.6 114.2 111.8 109.2 106.4 103.4 100.4 97.4
-74.5 102.0 105.8 109.6 113.0 116.4 119.6 122.6 125.6 128.2 130.8 133.0 135.2 137.2 139.0 140.6 141.8 143.2 144.2 145.0 145.8 146.4 146.6 146.8 146.8 146.6 146.4 145.8 145.2 144.2 143.4 142.0 140.6 139.0 137.4 135.4 133.2 131.0 128.4 125.8 123.0 120.0 116.8 113.6 110.4 106.8
-74.0 112.4 116.8 120.8 124.8 128.6 132.2 135.6 138.8 141.8 144.6 147.2 149.6 151.8 153.8 155.4 157.0 158.4 159.6 160.4 161.2 161.8 162.0 162.2 162.2 162.0 161.8 161.2 160.4 159.4 158.4 157.0 155.4 153.6 151.6 149.6 147.2 144.6 141.8 138.8 135.6 132.2 128.8 125.0 121.2 117.4
